City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Urengoy,69,RU,1596250298,61,65.97,78.37,289.79,5.02
Saint George,1,US,1596250298,10,37.1,-113.58,314.15,5.7
Ushuaia,75,AR,1596250022,65,-54.8,-68.3,278.15,6.2
Kavaratti,100,IN,1596250080,81,10.57,72.64,301.41,8.13
Torbay,90,CA,1596250300,100,47.67,-52.73,288.71,4.6
Mar del Plata,0,AR,1596250159,93,-38.0,-57.56,280.93,1.5
Albany,0,US,1596250300,67,42.6,-73.97,296.48,1.64
Rikitea,100,PF,1596250300,86,-23.12,-134.97,296.34,3.24
Hermanus,0,ZA,1596250043,96,-34.42,19.23,279.26,1.43
Kaitangata,100,NZ,1596250301,70,-46.28,169.85,286.48,0.89
Yellowknife,75,CA,1596250301,56,62.46,-114.35,294.26,4.1
Antigonish,2,CA,1596250302,95,45.62,-62.0,292.04,0.45
Falāvarjān,0,IR,1596250302,60,32.56,51.51,293.15,2.1
Borger,80,NL,1596250302,74,52.92,6.79,292.59,0.89
Elban,100,RU,1596250302,97,50.1,136.51,290.62,1.38
Lockhart,1,US,1596250302,74,28.62,-81.44,302.59,4.6
Villafranca di Verona,68,IT,1596250304,83,45.35,10.84,297.59,0.5
Tarko-Sale,67,RU,1596250304,75,64.92,77.78,290.93,6.04
Mataura,100,NZ,1596250304,68,-46.19,168.86,288.43,1.66
Busselton,89,AU,1596250304,61,-33.65,115.33,290.37,2.17
Vallenar,0,CL,1596250304,26,-28.57,-70.76,291.24,0.94
Deputatsky,77,RU,1596250304,48,69.3,139.9,289.99,1.47
Quelimane,75,MZ,1596250304,93,-17.88,36.89,289.15,1.0
Madang,80,PG,1596250304,82,-5.22,145.8,300.67,5.61
Severo-Kuril'sk,81,RU,1596250305,82,50.68,156.12,285.65,6.39
Padang,83,ID,1596250054,65,-0.95,100.35,301.45,1.13
Puerto Ayora,75,EC,1596250306,92,-0.74,-90.35,292.59,0.89
Beira,20,MZ,1596250306,82,-19.84,34.84,293.15,2.1
Provideniya,7,RU,1596250306,59,64.38,-173.3,284.7,1.95
Harbatpur,57,IN,1596250306,72,30.45,77.73,301.59,0.65
Hambantota,75,LK,1596250306,100,6.12,81.12,299.15,5.1
Lavrentiya,28,RU,1596250306,71,65.58,-171.0,282.33,5.99
Khandyga,0,RU,1596250307,25,62.67,135.6,299.83,1.73
Saskylakh,0,RU,1596250307,43,71.92,114.08,294.61,2.63
Ponta do Sol,20,PT,1596250096,60,32.67,-17.1,294.15,7.7
Port Alfred,0,ZA,1596250307,77,-33.59,26.89,286.23,2.37
Stokmarknes,100,NO,1596250307,86,68.56,14.91,287.04,1.34
Tianpeng,75,CN,1596250307,100,30.99,103.94,300.37,1.0
Bluff,100,NZ,1596250307,80,-46.6,168.33,285.23,2.09
Ukiah,1,US,1596250307,26,39.15,-123.21,301.15,4.1
Panguna,100,PG,1596250307,95,-6.32,155.48,296.07,0.52
Bredasdorp,0,ZA,1596250308,93,-34.53,20.04,279.15,1.48
Ginda,55,IN,1596250308,81,30.69,78.49,294.49,1.14
New Norfolk,32,AU,1596250308,70,-42.78,147.06,289.82,2.24
Atuona,25,PF,1596250308,74,-9.8,-139.03,299.26,8.39
Zhengjiatun,29,CN,1596250310,57,43.51,123.51,304.53,7.52
Mashhad,20,IR,1596250310,37,36.3,59.61,295.15,2.1
Kayunga,80,UG,1596250311,78,0.7,32.89,289.93,0.15
Letka,4,RU,1596250311,94,59.6,49.42,284.99,2.41
Arraial do Cabo,54,BR,1596250311,77,-22.97,-42.03,293.2,6.16
Castro,42,BR,1596250300,97,-24.79,-50.01,283.39,2.91
Barrow,1,US,1596250311,75,71.29,-156.79,278.15,3.1
Souillac,40,MU,1596250311,88,-20.52,57.52,293.15,0.5
Vaini,75,TO,1596250311,69,-21.2,-175.2,296.15,4.1
Alofi,67,NU,1596250120,61,-19.06,-169.92,298.15,6.2
Ribeira Grande,15,PT,1596250311,63,38.52,-28.7,294.36,1.25
Jamestown,1,US,1596250311,73,42.1,-79.24,294.15,2.1
Zabaykal'sk,3,RU,1596250312,51,49.63,117.32,299.25,3.75
Puerto Ayacucho,100,VE,1596250312,87,5.66,-67.62,297.34,1.43
Samarai,96,PG,1596250312,64,-10.62,150.67,298.34,5.94
Hashtrūd,0,IR,1596250083,54,37.48,47.05,290.26,1.63
Butaritari,59,KI,1596250312,70,3.07,172.79,301.66,2.99
Udachny,0,RU,1596250096,45,66.42,112.4,291.15,2.0
Havøysund,40,NO,1596250312,100,71.0,24.66,283.15,5.1
Chokurdakh,97,RU,1596250313,64,70.63,147.92,284.62,0.92
Cockburn Town,100,TC,1596250313,82,21.46,-71.14,301.26,11.8
Port Hardy,75,CA,1596250314,56,50.7,-127.42,294.15,8.2
Aberdeen,100,GB,1596250314,100,57.14,-2.1,287.59,1.0
The Valley,40,AI,1596250290,88,18.22,-63.06,300.37,4.6
Punta Arenas,100,CL,1596250314,86,-53.15,-70.92,276.15,6.7
Mpulungu,8,ZM,1596250314,60,-8.76,31.11,293.5,4.59
Kruisfontein,0,ZA,1596250314,85,-34.0,24.73,282.03,1.87
Broken Hill,0,AU,1596250095,32,-31.95,141.43,290.15,2.6
Bandarbeyla,47,SO,1596250314,70,9.49,50.81,299.38,11.34
Dikson,89,RU,1596250314,67,73.51,80.55,287.01,4.76
Manokwari,95,ID,1596250314,65,-0.87,134.08,302.5,2.19
Shenjiamen,36,CN,1596250317,83,29.96,122.3,301.3,7.13
Nizwá,87,OM,1596250317,47,22.93,57.53,304.62,1.2
Dhanera,46,IN,1596250317,66,24.52,72.02,304.37,3.21
Lata,90,PT,1596250317,93,40.16,-8.33,292.04,4.1
Port Elizabeth,0,ZA,1596250317,100,-33.92,25.57,282.15,2.1
